iter	Recall	Logloss
0	1	0.6030079287
1	1	0.5288618282
2	1	0.465011174
3	1	0.404049966
4	1	0.3624807272
5	1	0.3203335594
6	1	0.290311313
7	1	0.2662970747
8	1	0.243591062
9	1	0.2214697639
10	1	0.2028058431
11	1	0.1863380056
12	1	0.171715119
13	1	0.1585479781
14	1	0.1500120105
15	1	0.1405316723
16	1	0.1333760825
17	1	0.1268192426
18	1	0.1200628567
19	1	0.113775634
20	1	0.1090075969
21	1	0.1049738986
22	1	0.1009914273
23	1	0.09748674969
24	1	0.09499808484
25	1	0.09272846501
26	1	0.09077174473
27	1	0.08898695194
28	1	0.08786961191
29	1	0.08601788225
30	1	0.08431825162
31	1	0.08260013314
32	1	0.08126180843
33	1	0.08092949508
34	1	0.07935606138
35	1	0.07772440061
36	1	0.07636475042
37	1	0.07558780254
38	1	0.07481050935
39	1	0.07441654809
40	1	0.07361995422
41	1	0.07263004058
42	1	0.07202651675
43	1	0.07194187578
44	1	0.07132441883
45	1	0.07103478344
46	1	0.07026609656
47	1	0.0697362088
48	1	0.06916879711
49	1	0.06863118344
50	1	0.06805656351
51	1	0.06777978396
52	1	0.06714142491
53	1	0.06673859989
54	1	0.06648993714
55	1	0.0661045265
56	1	0.06580598744
57	1	0.06558238885
58	1	0.06511690947
59	1	0.06469067393
60	1	0.06420965419
61	1	0.06378986711
62	1	0.06349163986
63	1	0.0632875454
64	1	0.06324210963
65	1	0.06306997639
66	1	0.06298342865
67	1	0.06282653244
68	1	0.06261719614
69	1	0.06207321755
70	1	0.06180172934
71	1	0.0616509573
72	1	0.0614506199
73	1	0.06117315377
74	1	0.06093932937
75	1	0.06062611521
76	1	0.06023737076
77	1	0.06001125808
78	1	0.0597859697
79	1	0.0596552499
80	1	0.05944889774
81	1	0.05929243449
82	1	0.05887791338
83	1	0.05871196842
84	1	0.05859432353
85	1	0.0584203942
86	1	0.05835659684
87	1	0.05804259844
88	1	0.05775483737
89	1	0.0576244497
90	1	0.05741812265
91	1	0.05735683039
92	1	0.05714111742
93	1	0.05709924544
94	1	0.05695643687
95	1	0.05679251716
96	1	0.05644592625
97	1	0.05631234339
98	1	0.056011183
99	1	0.05597479542
100	1	0.05586753128
101	1	0.05576417844
102	1	0.05568123282
103	1	0.05552176948
104	1	0.05545470061
105	1	0.05536792598
106	1	0.05526022145
107	1	0.05500029355
108	1	0.05490947393
109	1	0.05488041312
110	1	0.0547954438
111	1	0.05469366278
112	1	0.05456275743
113	1	0.05447550425
114	1	0.05438554405
115	1	0.05431781588
116	1	0.05423878621
117	1	0.05413146649
118	1	0.05406321009
119	1	0.05396782909
120	1	0.05393476871
121	1	0.05371635354
122	1	0.05368140958
123	1	0.05352738651
124	1	0.05347341726
125	1	0.05337581873
126	1	0.05316313535
127	1	0.05306280578
128	1	0.05302585224
129	1	0.05302584731
130	1	0.05292919451
131	1	0.05288945195
132	1	0.05284285114
133	1	0.05267805076
134	1	0.05252141367
135	1	0.05246080613
136	1	0.05244009478
137	1	0.05244007846
138	1	0.05230338976
139	1	0.0523033513
140	1	0.05219737198
141	1	0.0521334024
142	1	0.0520360661
143	1	0.05192201619
144	1	0.05186467128
145	1	0.0517742981
146	1	0.05170263384
147	1	0.0515476075
148	1	0.05149815913
149	1	0.05146001918
150	1	0.05141418414
151	1	0.05131442554
152	1	0.05128959261
153	1	0.05125913886
154	1	0.05119764059
155	1	0.05110417358
156	1	0.05108237004
157	1	0.05108235876
158	1	0.05103070653
159	1	0.05094446727
160	1	0.05090925277
161	1	0.05088745986
162	1	0.05081108298
163	1	0.05077618205
164	1	0.05074931435
165	1	0.05070173265
166	1	0.05063209174
167	1	0.05042492124
168	1	0.05039018666
169	1	0.05033586533
170	1	0.05023600963
171	1	0.05015348726
172	1	0.05002597792
173	1	0.04984930379
174	1	0.04976485836
175	1	0.04970025786
176	1	0.04963112758
177	1	0.0495701133
178	1	0.04949341627
179	1	0.04937284497
180	1	0.04926915268
181	1	0.04917673134
182	1	0.04917666035
183	1	0.04905354957
184	1	0.04897675793
185	1	0.04888128743
186	1	0.04883079835
187	1	0.0487764519
188	1	0.04871245765
189	1	0.04863529811
190	1	0.04853626479
191	1	0.04843176409
192	1	0.04826447757
193	1	0.04816935464
194	1	0.04811437564
195	1	0.04804728307
196	1	0.04798690329
197	1	0.04790659246
198	1	0.04785333252
199	1	0.04771266592
200	1	0.04765911314
201	1	0.04757636046
202	1	0.04749469198
203	1	0.04738599668
204	1	0.04728075078
205	1	0.04727454901
206	1	0.04722348893
207	1	0.04716659738
208	1	0.04707746616
209	1	0.04705568037
210	1	0.0469954821
211	1	0.0468988284
212	1	0.04687105538
213	1	0.04679874822
214	1	0.04671981151
215	1	0.04669392439
216	1	0.04651888769
217	1	0.04641935256
218	1	0.0463731792
219	1	0.04631036353
220	1	0.04625871385
221	1	0.0461798616
222	1	0.04606643767
223	1	0.0459474267
224	1	0.04589955603
225	1	0.04586220643
226	1	0.0458090511
227	1	0.04576870163
228	1	0.04574159881
229	1	0.04571820402
230	1	0.04565625668
231	1	0.04552710521
232	1	0.04549340388
233	1	0.04542751144
234	1	0.0453773993
235	1	0.04530088156
236	1	0.04526915736
237	1	0.04522319187
238	1	0.04520398304
239	1	0.04514202084
240	1	0.04507841188
241	1	0.04502426368
242	1	0.04496356692
243	1	0.04491363984
244	1	0.04482230533
245	1	0.04476412946
246	1	0.04468609062
247	1	0.04463965279
248	1	0.04460909513
249	1	0.04454271415
250	1	0.04451367841
251	1	0.04445901725
252	1	0.04439969906
253	1	0.04435684687
254	1	0.04433222579
255	1	0.04421156579
256	1	0.04418141261
257	1	0.04414222988
258	1	0.04411025795
259	1	0.04408911993
260	1	0.04403621374
261	1	0.04399587187
262	1	0.04395487802
263	1	0.04387949444
264	1	0.04384601831
265	1	0.04382716454
266	1	0.04381564743
267	1	0.04379790034
268	1	0.04379786502
269	1	0.0437576173
270	1	0.04371973301
271	1	0.04364836249
272	1	0.04362033268
273	1	0.04358366853
274	1	0.04355208271
275	1	0.04348600675
276	1	0.04345184706
277	1	0.04338823838
278	1	0.04332782616
279	1	0.04329214761
280	1	0.04322982568
281	1	0.04320544676
282	1	0.04320539516
283	1	0.04314688396
284	1	0.04314686192
285	1	0.04308451174
286	1	0.04307112227
287	1	0.04303653037
288	1	0.04300029648
289	1	0.04294513692
290	1	0.04288563771
291	1	0.04283033867
292	1	0.04282999982
293	1	0.04279755042
294	1	0.04274626554
295	1	0.04272478136
296	1	0.04270373153
297	1	0.04267070355
298	1	0.04265332603
299	1	0.04262196053
300	1	0.0425813499
301	1	0.04258130623
302	1	0.04253660672
303	1	0.04248627278
304	1	0.04243808028
305	1	0.04239369397
306	1	0.04234844739
307	1	0.04231815282
308	1	0.04231814636
309	1	0.04226023596
310	1	0.04221136069
311	1	0.04219385353
312	1	0.04215362061
313	1	0.04212473335
314	1	0.04207918278
315	1	0.04203007428
316	1	0.04203006761
317	1	0.04197878536
318	1	0.04193538402
319	1	0.04192823041
320	1	0.04191142621
321	1	0.04189554639
322	1	0.04186033427
323	1	0.04182294042
324	1	0.04171687857
325	1	0.04165666845
326	1	0.04160584689
327	1	0.04157812462
328	1	0.04156348866
329	1	0.04151745416
330	1	0.04145075477
331	1	0.04141716493
332	1	0.04136904126
333	1	0.04134006567
334	1	0.04131714791
335	1	0.0413032993
336	1	0.04126995014
337	1	0.04125721057
338	1	0.04123189736
